lat,lon,bearing,class,conf,frame,thumb
44.99009269712513,13.75759971082466,264.23985194066563,street-light,0.07543341815471649,0,00000_713_264_street-light.jpg
44.99013131885189,13.757570595693624,257.7519783376887,street-light,0.05538679286837578,2,00002_688_257_street-light.jpg
44.99015117628224,13.757551558389476,247.27117627576877,street-light,0.13183578848838806,3,00003_614_247_street-light.jpg
44.99017104334642,13.757532439457416,233.03112070808868,street-light,0.2109648436307907,4,00004_508_233_street-light.jpg
44.99017104334642,13.757532439457416,233.03112070808868,street-light,0.05968727543950081,4,00004_508_233_street-light.jpg
44.99019043662908,13.757510369798688,216.54162416411486,street-light,0.21746933460235596,5,00005_382_216_street-light.jpg
44.99020981876544,13.757488230720515,200.18795989198884,street-light,0.1709127128124237,6,00006_239_200_street-light.jpg
44.99022775196357,13.75746321391766,186.1841557048524,street-light,0.09401717036962509,7,00007_101_186_street-light.jpg
44.99029216175174,13.757345056243665,3.2551305573852005,street-light,0.10134363919496536,11,00011_260_3_street-light.jpg
44.99029216175174,13.757345056243665,179.34388274470075,traffic-sign,0.7919973731040955,11,00011_215_179_traffic-sign.jpg
44.9903060954805,13.7573100967685,37.200619356863626,street-light,0.10718866437673569,12,00012_618_37_street-light.jpg
44.9903060954805,13.7573100967685,37.200619356863626,street-light,0.08993469178676605,12,00012_618_37_street-light.jpg
44.9903060954805,13.7573100967685,158.86398634029365,traffic-sign,0.8667204976081848,12,00012_995_158_traffic-sign.jpg
44.99032873464297,13.757230107123178,139.58057493800186,traffic-sign,0.6670345067977905,14,00014_796_139_traffic-sign.jpg
44.990425299465855,13.756812591003758,338.6539201893956,street-light,0.21124035120010376,23,00023_105_338_street-light.jpg
44.990435946720574,13.75676351381398,22.69553270850679,street-light,0.2876828610897064,24,00024_564_22_street-light.jpg
44.99045729599748,13.756663126116043,77.58165879023147,street-light,0.06583380699157715,26,00026_227_77_street-light.jpg
44.99048959196928,13.756509622547672,351.58221541642547,street-light,0.06200576201081276,29,00029_273_351_street-light.jpg
44.99051145092988,13.75640556046567,300.06004348394333,traffic-sign,0.6640055775642395,31,00031_636_300_traffic-sign.jpg
44.99052248115419,13.756352814430613,306.1161136561555,traffic-sign,0.7916669845581055,32,00032_696_306_traffic-sign.jpg
44.99053337181344,13.756299910363374,320.3160230089078,traffic-sign,0.8220357298851013,33,00033_855_320_traffic-sign.jpg
44.99053337181344,13.756299910363374,315.38508820586264,street-light,0.05644407495856285,33,00033_794_315_street-light.jpg
44.990544255583714,13.756246998495604,357.1845161175082,traffic-sign,0.7292901873588562,34,00034_331_357_traffic-sign.jpg
44.990544255583714,13.756246998495604,342.5653293667312,street-light,0.15321718156337738,34,00034_165_342_street-light.jpg
44.99055579657025,13.756193834472022,266.70088150907253,traffic-sign,0.7038488388061523,35,00035_323_266_traffic-sign.jpg
44.99055579657025,13.756193834472022,36.530743930939195,street-light,0.12311433255672455,35,00035_694_36_street-light.jpg
44.990567363354415,13.756140660550603,260.2175728092709,traffic-sign,0.764681339263916,36,00036_250_260_traffic-sign.jpg
44.990591433867834,13.756032461487358,177.2410925508293,traffic-sign,0.8755035996437073,38,00038_323_177_traffic-sign.jpg
44.99060323871023,13.755979342470646,154.78478018646126,traffic-sign,0.8115410804748535,39,00039_39_154_traffic-sign.jpg
44.99061503490259,13.755926259605006,133.54475996950436,traffic-sign,0.8032888174057007,40,00040_762_133_traffic-sign.jpg
44.99062704453475,13.7558726972826,124.18187189182385,traffic-sign,0.7698708176612854,41,00041_665_124_traffic-sign.jpg
44.990639088007555,13.755819003466325,119.375361436032,traffic-sign,0.7733593583106995,42,00042_620_119_traffic-sign.jpg
44.990650668298805,13.755766547758448,116.63972651276544,traffic-sign,0.5083832144737244,43,00043_596_116_traffic-sign.jpg
44.990662232183944,13.755714135904947,295.7266832642791,traffic-sign,0.7182866334915161,44,00044_589_295_traffic-sign.jpg
44.990662232183944,13.755714135904947,303.19329894700604,street-light,0.18675455451011658,44,00044_659_303_street-light.jpg
44.990673506134655,13.755662064236848,298.80762658538606,traffic-sign,0.6715640425682068,45,00045_618_298_traffic-sign.jpg
44.990673506134655,13.755662064236848,318.42712258961126,street-light,0.17409555613994598,45,00045_823_318_street-light.jpg
44.990684792223846,13.7556098974246,303.6881732242415,traffic-sign,0.7575981020927429,46,00046_665_303_traffic-sign.jpg
44.990684792223846,13.7556098974246,10.035742573959851,street-light,0.06346383690834045,46,00046_449_10_street-light.jpg
44.99069612129628,13.755557775370473,313.2748504961579,traffic-sign,0.8403054475784302,47,00047_766_313_traffic-sign.jpg
44.99070747533494,13.755505546792637,337.2711305109529,traffic-sign,0.8543031811714172,48,00048_92_337_traffic-sign.jpg
44.99071788839385,13.755454784638015,271.1715002323595,traffic-sign,0.6754581928253174,49,00049_369_271_traffic-sign.jpg
44.99075074813778,13.755304519272464,216.69620241195787,traffic-sign,0.8422460556030273,52,00052_694_216_traffic-sign.jpg
44.99076151769481,13.755253398982358,151.09739102980444,traffic-sign,0.6106521487236023,53,00053_1006_151_traffic-sign.jpg
44.99076151769481,13.755253398982358,153.9105638928678,traffic-sign,0.8357027769088745,53,00053_31_153_traffic-sign.jpg
44.9907722694892,13.755202223774907,129.56580310712775,traffic-sign,0.8004268407821655,54,00054_723_129_traffic-sign.jpg
44.990783651124744,13.755151664967963,120.88280718810984,traffic-sign,0.7747048735618591,55,00055_634_120_traffic-sign.jpg
44.99079505691944,13.75510112980462,117.06186428262396,traffic-sign,0.758348822593689,56,00056_595_117_traffic-sign.jpg
44.990806721296195,13.755050434180344,114.76932724129284,traffic-sign,0.7362356185913086,57,00057_574_114_traffic-sign.jpg
44.99081839612407,13.754999732070708,292.1050869941384,traffic-sign,0.7312029600143433,58,00058_551_292_traffic-sign.jpg
44.99081839612407,13.754999732070708,113.21590722258463,traffic-sign,0.6096512079238892,58,00058_561_113_traffic-sign.jpg
44.99082963582865,13.754949262113653,293.50821235508784,traffic-sign,0.7892957329750061,59,00059_565_293_traffic-sign.jpg
44.99084088197564,13.754898696104611,295.66695011470176,traffic-sign,0.7818796634674072,60,00060_586_295_traffic-sign.jpg
44.990852056234004,13.754848333592026,299.6054748999874,traffic-sign,0.783264696598053,61,00061_623_299_traffic-sign.jpg
44.9908632508157,13.754797874432727,308.1453506455854,traffic-sign,0.8326778411865234,62,00062_708_308_traffic-sign.jpg
44.9908632508157,13.754797874432727,311.01484305565845,street-light,0.13079284131526947,62,00062_738_311_street-light.jpg
44.99087417785885,13.754747295468299,329.7147253195799,street-light,0.14400163292884827,63,00063_982_329_street-light.jpg
44.99087417785885,13.754747295468299,334.6432438729196,traffic-sign,0.847591757774353,63,00063_43_334_traffic-sign.jpg
44.990885094580165,13.754696711881707,12.937157281264717,street-light,0.23895849287509918,64,00064_475_12_street-light.jpg
44.990885094580165,13.754696711881707,13.549891589141737,street-light,0.1313984990119934,64,00064_480_13_street-light.jpg
44.99089592413844,13.754647122853513,58.87153366481101,street-light,0.20788069069385529,65,00065_964_58_street-light.jpg
44.99089592413844,13.754647122853513,58.96573334330998,street-light,0.08076943457126617,65,00065_965_58_street-light.jpg
44.99090675033485,13.754597572185336,78.46051300625999,street-light,0.0671558603644371,66,00066_224_78_street-light.jpg
44.99091823926997,13.754548888929527,86.92013908086676,street-light,0.06229846552014351,67,00067_316_86_street-light.jpg
44.99092975471064,13.754500240364983,151.58841190735467,traffic-sign,0.6330511569976807,68,00068_1001_151_traffic-sign.jpg
44.99092975471064,13.754500240364983,154.93147740636164,traffic-sign,0.771717369556427,68,00068_35_154_traffic-sign.jpg
44.99094047489282,13.754451710317259,131.26480410971595,traffic-sign,0.8049447536468506,69,00069_737_131_traffic-sign.jpg
44.990951165569705,13.754403184666689,356.0645559213554,street-light,0.12008657306432724,70,00070_315_356_street-light.jpg
44.990951165569705,13.754403184666689,356.0158024009151,street-light,0.11563720554113388,70,00070_315_356_street-light.jpg
44.99096131852914,13.754355632251386,117.57243493277588,traffic-sign,0.7873266339302063,71,00071_606_117_traffic-sign.jpg
44.991012348209445,13.754123949250214,301.22740733753443,traffic-sign,0.8308684825897217,76,00076_638_301_traffic-sign.jpg
44.991021355725294,13.754083399236157,307.93144798002413,traffic-sign,0.7226600646972656,77,00077_703_307_traffic-sign.jpg
44.99103035374948,13.754042908127337,320.7756227863934,traffic-sign,0.8859814405441284,78,00078_846_320_traffic-sign.jpg
44.99103861825163,13.754006529253875,348.0678919960173,traffic-sign,0.8098104596138,79,00079_221_348_traffic-sign.jpg
